,City,Date,Time,Wind,Humidity,Weather,PM2.5,PM10,O₃,NO₂,SO₂,CO,AQI
101,Lyon,05 December 2024,02:00,1.8 km/h,93%,0°,7.1,9.7,31.8,16.2,1.9,0.2, 39 
102,London,05 December 2024,01:00,18.5 km/h,88%,9°,7.0,5.5,50.6,10.7,,300.0, 39 
103,Pristina,05 December 2024,02:00,22.2 km/h,89%,3°,6.8,8.1,13.8,9.0,8.3,550.0, 37 
104,Montreal,04 December 2024,20:00,24.1 km/h,92%,-1°,9.0,,17.0,2.0,1.0,, 50 
105,Bratislava,05 December 2024,02:00,13 km/h,86%,0°,5.5,10.0,53.6,4.2,3.8,0.2, 31 
106,Sao Paulo,04 December 2024,22:00,13 km/h,94%,17°,6.5,18.0,30.0,20.0,1.0,458.0, 36 
107,Berlin,05 December 2024,02:00,13 km/h,93%,4°,7.0,11.0,32.0,10.0,,0.0, 39 
108,Johannesburg,05 December 2024,03:00,7.5 km/h,49%,22°,6.0,24.4,,,,, 33 
109,Oslo,05 December 2024,03:00,3.9 km/h,91%,-4°,6.0,9.1,31.9,10.0,0.3,119.4, 33 
110,Tokyo,05 December 2024,10:00,5.5 km/h,46%,12°,6.0,9.0,,41.4,2.6,343.5, 33 
111,Auckland,05 December 2024,14:00,24.1 km/h,59%,23°,5.5,15.7,,3.7,,, 31 
112,Chicago,04 December 2024,19:00,48.2 km/h,48%,-2°,5.3,,,,,, 29 
113,Canberra,05 December 2024,12:00,9.6 km/h,66%,25°,5.2,10.7,26.0,,,, 28 
114,Moscow,05 December 2024,04:00,10.2 km/h,71%,-4°,4.7,,,,,, 26 
115,Melbourne,05 December 2024,12:00,7.4 km/h,36%,30°,4.6,,,,,, 26 
116,Birmingham,05 December 2024,01:00,20.4 km/h,97%,10°,2.9,4.4,61.2,12.0,4.3,, 25 
117,Portland,04 December 2024,17:00,42.6 km/h,71%,3°,4.5,21.2,28.0,6.5,1.3,171.8, 24 
118,Dublin,05 December 2024,01:00,27.8 km/h,88%,12°,1.4,1.9,53.6,4.4,2.4,, 22 
119,Sydney,05 December 2024,13:00,13 km/h,74%,24°,3.3,23.5,0.0,0.0,0.0,105.4, 21 
120,Copenhagen,05 December 2024,02:00,9.3 km/h,76%,0°,0.0,17.5,50.7,6.2,0.0,0.2, 21 
121,Stockholm,05 December 2024,02:00,0 km/h,100%,-9°,3.7,4.7,43.3,10.1,,, 21 
122,Houston,04 December 2024,19:00,5.5 km/h,92%,21°,3.0,21.9,47.0,16.2,0.0,343.5, 19 
123,Rome,05 December 2024,02:00,22.2 km/h,74%,9°,3.1,,4.0,35.0,0.4,0.9, 17 
124,Helsinki,05 December 2024,03:00,25.7 km/h,80%,2°,2.7,3.9,24.0,18.8,0.3,, 15 
0,Lahore,06 December 2024,20:00,5.5 km/h,52%,17°,138.0,,,,,, 213 
1,Shanghai,06 December 2024,23:00,10.8 km/h,76%,7°,126.0,144.0,30.0,77.0,6.0,"1,036.0", 201 
2,Cairo,06 December 2024,17:00,9.3 km/h,46%,22°,116.2,,,,,, 194 
3,Hanoi,06 December 2024,22:00,14 km/h,69%,19°,110.0,110.3,,42.4,,"2,064.1", 189 
4,Tehran,06 December 2024,18:30,7.4 km/h,29%,8°,105.0,112.1,26.4,186.3,73.4,"4,328.1", 186 
5,Sarajevo,06 December 2024,16:00,5.5 km/h,100%,4°,103.7,96.5,6.0,76.0,21.0,"1,481.5", 185 
6,Hangzhou,06 December 2024,23:00,2.6 km/h,66%,10°,98.5,129.0,14.0,67.5,7.0,"1,050.0", 181 
7,Delhi,06 December 2024,20:30,5.5 km/h,51%,16°,95.0,282.5,7.5,68.0,12.7,"2,250.0", 179 
8,Dhaka,06 December 2024,21:00,0 km/h,52%,19°,93.6,,14.0,,,, 178 
9,Bishkek,06 December 2024,21:00,4.4 km/h,62%,-4°,79.3,0.0,,74.9,,, 168 
10,Kathmandu,06 December 2024,20:45,7.4 km/h,82%,12°,79.0,101.2,48.0,,,, 167 
11,Dubai,06 December 2024,19:00,7.4 km/h,65%,25°,70.5,118.9,110.0,,,, 162 
12,Kolkata,06 December 2024,20:30,0 km/h,64%,20°,69.1,156.7,6.7,38.1,8.6,"1,895.0", 161 
