,City,Date,Time,Wind,Humidity,Weather,PM2.5,PM10,O₃,NO₂,SO₂,CO,AQI
104,Barcelona,08 December 2024,13:00,29.6 km/h,44%,12°,4.0,15.0,65.0,7.0,1.0,200.0, 27 
105,Vancouver,08 December 2024,04:00,16.7 km/h,93%,6°,1.1,,74.6,8.4,0.6,, 30 
106,Kuching,08 December 2024,20:00,3.7 km/h,89%,28°,6.7,,,,,, 37 
107,Dublin,08 December 2024,12:00,27.8 km/h,78%,6°,3.9,9.2,40.1,9.6,2.7,, 21 
108,Canberra,08 December 2024,23:00,9.3 km/h,84%,15°,3.0,15.2,58.0,,,, 24 
109,Kyoto,08 December 2024,20:00,14.9 km/h,86%,5°,4.5,6.0,,13.2,0.0,343.5, 25 
110,Birmingham,08 December 2024,12:00,37 km/h,80%,5°,3.6,5.0,61.5,9.4,0.1,, 25 
111,Sydney,08 December 2024,23:00,16.7 km/h,84%,19°,2.6,26.7,0.0,0.0,0.0,153.7, 24 
112,London,08 December 2024,12:00,33.3 km/h,88%,6°,4.2,7.1,57.9,7.1,,100.0, 24 
113,Osaka,08 December 2024,21:00,3.7 km/h,75%,5°,4.0,4.0,,14.1,7.9,343.5, 22 
114,Bern,08 December 2024,13:00,5.5 km/h,80%,4°,3.4,3.6,50.0,12.0,,, 20 
115,Paris,08 December 2024,13:00,31.5 km/h,90%,7°,2.8,3.3,48.2,14.4,,151.0, 20 
116,Portland,08 December 2024,04:00,17.7 km/h,95%,6°,1.6,2.5,48.0,5.1,1.6,114.5, 20 
117,Rotterdam,08 December 2024,10:00,22.2 km/h,91%,7°,2.9,6.4,44.3,5.2,,, 18 
118,Brussels,08 December 2024,13:00,22.2 km/h,92%,7°,3.0,,,14.0,,, 16 
119,Auckland,09 December 2024,01:00,16.7 km/h,86%,18°,3.1,12.4,,3.7,,, 17 
120,Rome,08 December 2024,13:00,11.3 km/h,78%,9°,3.1,,35.5,28.0,0.7,0.6, 17 
121,Kobe,08 December 2024,20:00,5.5 km/h,66%,7°,3.0,2.0,,5.6,0.0,286.3, 17 
122,Lyon,08 December 2024,12:00,3.7 km/h,87%,6°,1.1,2.3,38.4,15.6,2.5,0.3, 16 
123,Melbourne,08 December 2024,23:00,16.7 km/h,67%,16°,2.7,,,,,, 14 
124,Tokyo,08 December 2024,20:00,35.2 km/h,51%,6°,2.0,3.0,,11.3,0.0,229.0, 11 
125,Kabul,08 December 2024,16:30,10 km/h,23%,3°,2.0,,,,,, 11 
0,Ulaanbaatar,08 December 2024,20:00,3.6 km/h,84%,-20°,178.0,126.0,,95.5,73.5,900.0, 253 
1,Cairo,08 December 2024,14:00,14.8 km/h,35%,23°,140.0,,,,,, 215 
2,Dhaka,08 December 2024,18:00,3.7 km/h,40%,23°,132.0,,134.0,,,, 207 
3,Lahore,08 December 2024,17:00,7.4 km/h,48%,17°,110.0,,,,,, 189 
4,Delhi,08 December 2024,17:30,7.4 km/h,40%,21°,100.0,254.0,31.8,73.8,8.4,"1,400.0", 182 
5,Baghdad,08 December 2024,15:00,7.4 km/h,30%,21°,92.0,,,,,, 177 
6,Tehran,08 December 2024,15:30,7.4 km/h,31%,9°,83.0,147.9,20.9,196.3,76.1,"4,482.7", 170 
7,Kathmandu,08 December 2024,17:45,9.3 km/h,67%,15°,71.2,78.3,68.0,,,, 162 
8,Kolkata,08 December 2024,17:30,0 km/h,43%,23°,54.8,126.5,24.9,62.1,7.7,830.0, 148 
9,San Francisco,08 December 2024,04:00,3.2 km/h,86%,11°,53.6,,8.0,63.9,,"1,053.4", 145 
10,Kinshasa,08 December 2024,13:00,6.9 km/h,54%,31°,51.0,,,,,, 139 
11,Hanoi,08 December 2024,19:00,7.5 km/h,60%,16°,42.2,41.1,,41.1,,974.1, 117 
12,Skopje,08 December 2024,13:00,8.9 km/h,68%,6°,39.6,46.8,17.0,41.5,4.2,, 111 
13,Mumbai,08 December 2024,17:30,14.8 km/h,42%,28°,39.3,109.4,28.1,16.5,13.4,380.0, 110 
14,Yangon,08 December 2024,18:30,3.7 km/h,70%,30°,37.0,,,,,, 104 
15,Pristina,08 December 2024,13:00,14.5 km/h,80%,4°,35.7,25.7,27.2,17.4,11.4,550.0, 101 
16,Kaohsiung,08 December 2024,20:00,7.4 km/h,64%,21°,27.5,150.0,63.0,27.3,5.1,446.6, 98 
17,Batam,08 December 2024,18:00,0 km/h,89%,27°,30.4,20.0,132.1,47.3,1.1,, 91 
18,Sarajevo,08 December 2024,13:00,7.4 km/h,100%,2°,30.1,28.0,34.0,17.5,13.0,211.0, 90 
19,Chiang Mai,08 December 2024,19:00,5.5 km/h,69%,26°,30.0,46.8,,,,, 90 
20,Tel Aviv-Yafo,08 December 2024,14:00,14.8 km/h,60%,21°,21.9,,216.8,55.3,8.9,744.3, 89 
21,Dakar,08 December 2024,12:00,11.1 km/h,47%,26°,28.8,16.1,,,,, 88 
22,Wuhan,08 December 2024,20:00,12.7 km/h,29%,7°,28.0,28.0,17.0,12.0,3.0,"5,000.0", 86 
23,Salt Lake City,08 December 2024,06:00,4.8 km/h,75%,1°,32.2,36.0,13.0,41.2,0.7,343.5, 94 
24,Medan,08 December 2024,19:00,13 km/h,89%,27°,27.0,,,,,, 84 
25,Accra,08 December 2024,13:00,16.7 km/h,66%,31°,24.2,,,,,, 79 
26,Chongqing,08 December 2024,19:00,3.6 km/h,79%,4°,25.0,37.0,42.0,27.0,8.0,600.0, 81 
27,Milano,08 December 2024,13:00,8.1 km/h,92%,4°,24.9,85.5,5.6,47.3,4.5,700.0, 80 
28,Ljubljana,08 December 2024,14:00,5.5 km/h,86%,3°,33.3,43.0,3.0,43.0,,0.9, 96 
29,Bogota,08 December 2024,08:00,7.4 km/h,82%,14°,23.8,39.0,3.1,,,, 78 
30,Zagreb,08 December 2024,13:00,18.5 km/h,75%,4°,24.0,25.9,47.6,12.1,18.7,310.0, 79 
31,Guangzhou,08 December 2024,20:00,14.6 km/h,47%,18°,24.0,40.0,72.0,21.5,6.0,660.5, 79 
32,Kraków,08 December 2024,14:00,13 km/h,88%,0°,21.0,31.4,,19.8,2.8,231.0, 73 
33,Warsaw,08 December 2024,13:00,9.3 km/h,89%,2°,23.6,28.3,8.7,12.2,1.7,298.0, 78 
34,Ho Chi Minh City,08 December 2024,20:00,14.8 km/h,62%,29°,16.0,,,,,, 64 
35,Hong Kong,08 December 2024,20:00,16.1 km/h,64%,18°,23.0,33.2,55.8,40.8,2.3,760.4, 77 
36,Jakarta,08 December 2024,20:00,5.5 km/h,67%,28°,26.4,,40.0,,,, 83 
37,Manama,08 December 2024,16:00,18.5 km/h,62%,23°,25.0,,,,,, 81 
38,Bishkek,08 December 2024,19:00,6.7 km/h,91%,-9°,19.7,,,94.6,,, 71 
39,Wrocław,08 December 2024,14:00,11.1 km/h,91%,2°,16.6,28.3,22.6,21.3,14.2,649.0, 65 
40,Beijing,08 December 2024,21:00,0 km/h,49%,-6°,21.5,54.0,10.0,54.0,3.0,400.0, 74 
41,Hangzhou,08 December 2024,20:00,5.9 km/h,50%,4°,20.5,33.5,40.0,46.0,6.5,500.0, 72 
42,Shanghai,08 December 2024,20:00,10.8 km/h,61%,5°,20.0,34.5,59.0,32.0,5.0,455.0, 71 
43,Riyadh,08 December 2024,15:00,8.3 km/h,26%,28°,19.5,,,,,, 70 
44,Phnom Penh,08 December 2024,20:00,14.8 km/h,62%,29°,20.0,,,,,, 71 
45,Kampala,08 December 2024,15:00,12 km/h,39%,27°,17.0,9.0,27.2,12.6,0.0,, 66 
46,Shenzhen,08 December 2024,20:00,11.4 km/h,66%,18°,19.0,36.5,70.5,24.0,6.5,700.0, 69 
47,Berlin,08 December 2024,14:00,18.5 km/h,96%,4°,18.0,21.5,23.0,9.0,,0.0, 68 
48,Belgrade,08 December 2024,14:00,20.4 km/h,67%,6°,18.0,22.9,49.9,17.3,15.0,430.0, 67 
49,Kuwait City,08 December 2024,16:00,2.2 km/h,35%,22°,23.5,,,,,, 78 
50,Budapest,08 December 2024,14:00,14.8 km/h,85%,5°,17.6,19.5,29.1,11.1,8.1,617.5, 67 
51,Jerusalem,08 December 2024,15:00,14.5 km/h,60%,16°,17.0,,158.2,40.8,,, 66 
52,Karachi,08 December 2024,18:00,9.3 km/h,16%,24°,22.5,,,,,, 76 
53,Istanbul,08 December 2024,16:00,15.5 km/h,69%,14°,16.1,20.1,36.3,38.6,5.5,610.5, 64 
0,Dhaka,08 December 2024,19:00,5.5 km/h,52%,21°,154.0,,12.0,,,, 229 
1,Lahore,08 December 2024,18:00,14.8 km/h,55%,16°,148.0,,,,,, 223 
2,Ulaanbaatar,08 December 2024,21:00,3.6 km/h,77%,-20°,135.0,144.0,0.1,99.0,128.0,"1,806.5", 210 
3,Delhi,08 December 2024,18:30,11.1 km/h,48%,19°,122.0,273.0,16.0,83.1,9.0,"1,650.0", 198 
4,Cairo,08 December 2024,15:00,16.7 km/h,35%,23°,93.8,,,,,, 178 
5,Kathmandu,08 December 2024,18:45,7.4 km/h,72%,14°,84.0,99.3,60.0,,,, 171 
6,Tehran,08 December 2024,16:30,11.1 km/h,34%,8°,80.0,147.9,20.9,196.3,76.1,"4,482.7", 168 
7,Kinshasa,08 December 2024,14:00,5.5 km/h,62%,31°,71.0,,,,,, 162 
8,Kolkata,08 December 2024,18:30,5.5 km/h,53%,22°,60.5,139.3,10.4,54.7,7.8,"1,020.0", 154 
9,Baghdad,08 December 2024,16:00,9.3 km/h,30%,21°,56.0,,,,,, 151 
10,San Francisco,08 December 2024,05:00,5.5 km/h,85%,11°,52.3,,10.0,45.9,,, 142 
11,Hanoi,08 December 2024,20:00,6.4 km/h,63%,16°,48.0,51.5,,41.1,,974.1, 132 
12,Sarajevo,08 December 2024,14:00,3.7 km/h,93%,3°,44.3,28.0,38.0,16.5,13.5,202.0, 122 
13,Yangon,08 December 2024,19:30,3.7 km/h,74%,29°,40.5,,,,,, 113 
14,Mumbai,08 December 2024,18:30,16.7 km/h,44%,27°,37.9,107.6,28.3,16.2,13.0,390.0, 107 
15,Skopje,08 December 2024,14:00,7.8 km/h,66%,8°,36.1,42.7,20.0,31.3,3.8,, 102 
16,Karachi,08 December 2024,18:00,9.3 km/h,16%,24°,35.0,,,,,, 99 
17,Pristina,08 December 2024,14:00,11.1 km/h,78%,4°,31.4,31.8,20.9,28.4,10.7,650.0, 92 
18,Batam,08 December 2024,18:00,0 km/h,89%,27°,30.4,20.0,132.1,47.3,1.1,, 91 
19,Chiang Mai,08 December 2024,20:00,5.5 km/h,69%,26°,30.0,49.8,,,,, 90 
20,Wuhan,08 December 2024,21:00,12.7 km/h,29%,7°,28.0,30.0,16.0,13.0,3.0,"5,000.0", 86 
21,Jakarta,08 December 2024,20:00,5.5 km/h,67%,28°,28.0,,32.0,,,, 86 
22,Tel Aviv-Yafo,08 December 2024,15:00,14.8 km/h,60%,21°,27.0,,203.4,70.7,8.4,801.5, 84 
23,Chongqing,08 December 2024,21:00,3.6 km/h,79%,4°,27.0,42.0,39.0,28.0,8.0,600.0, 84 
24,Accra,08 December 2024,13:00,16.7 km/h,66%,31°,26.5,,,,,, 83 
25,Kaohsiung,08 December 2024,21:00,7.4 km/h,64%,21°,26.5,117.0,46.0,32.9,5.0,458.0, 83 
26,Milano,08 December 2024,14:00,14.5 km/h,91%,4°,25.6,91.6,5.9,43.5,4.6,700.0, 82 
27,Beijing,08 December 2024,21:00,0 km/h,49%,-6°,26.0,55.5,5.0,55.0,3.0,500.0, 82 
28,Shanghai,08 December 2024,21:00,10.8 km/h,61%,5°,26.0,36.0,51.0,37.0,5.0,480.0, 82 
29,Guangzhou,08 December 2024,21:00,14.6 km/h,47%,18°,25.0,41.0,66.0,24.0,7.0,656.0, 81 
30,Ljubljana,08 December 2024,14:00,5.5 km/h,86%,3°,24.4,41.2,2.7,31.0,,0.9, 80 
31,Hangzhou,08 December 2024,21:00,5.9 km/h,50%,4°,24.5,41.5,26.0,59.0,7.0,500.0, 80 
32,Salt Lake City,08 December 2024,06:00,4.8 km/h,75%,1°,24.9,31.0,15.0,46.2,0.8,400.8, 80 
33,Dakar,08 December 2024,13:00,11.1 km/h,47%,26°,24.3,15.1,,,,, 79 
34,Manama,08 December 2024,16:00,14.8 km/h,67%,23°,23.5,,,,,, 78 
35,Kuwait City,08 December 2024,16:00,3.1 km/h,48%,22°,23.5,,,,,, 78 
36,Bogota,08 December 2024,08:00,5.5 km/h,72%,15°,23.8,39.0,3.1,,,, 78 
37,Wrocław,08 December 2024,14:00,11.1 km/h,91%,2°,23.1,25.4,20.8,14.5,14.1,570.5, 77 
38,Bishkek,08 December 2024,19:00,4.2 km/h,93%,-9°,23.4,0.0,,86.1,,, 77 
39,Jerusalem,08 December 2024,15:00,6.4 km/h,65%,16°,21.9,,152.8,37.4,,, 75 
40,Hong Kong,08 December 2024,21:00,16.1 km/h,64%,18°,22.0,34.2,52.9,39.6,2.3,755.5, 75 
41,Kraków,08 December 2024,14:00,5.5 km/h,69%,1°,20.4,26.7,,20.3,3.1,210.0, 72 
42,Warsaw,08 December 2024,14:00,11.1 km/h,90%,2°,20.6,26.1,8.2,12.8,1.7,271.0, 72 
43,Zagreb,08 December 2024,14:00,29.6 km/h,75%,4°,20.5,25.9,48.6,15.3,15.2,322.0, 72 
44,Medan,08 December 2024,20:00,11.1 km/h,89%,27°,20.0,,,,,, 71 
45,Phnom Penh,08 December 2024,20:00,14.8 km/h,65%,28°,20.0,,,,,, 71 
46,Berlin,08 December 2024,15:00,20.9 km/h,93%,3°,21.9,25.0,24.0,9.5,,0.0, 75 
47,Manila,08 December 2024,21:00,3.7 km/h,90%,26°,19.4,,,,,, 70 
48,Riyadh,08 December 2024,17:00,11.3 km/h,29%,27°,21.0,,,,,, 73 
49,Shenzhen,08 December 2024,21:00,13 km/h,67%,17°,19.0,37.0,64.0,23.0,6.5,700.0, 69 
50,Kampala,08 December 2024,16:00,11.8 km/h,42%,26°,20.5,6.5,37.5,9.1,0.0,, 72 
51,Sofia,08 December 2024,15:00,5.5 km/h,87%,1°,17.1,21.5,36.7,28.6,10.4,0.6, 66 
52,Belgrade,08 December 2024,14:00,20.4 km/h,67%,6°,17.0,22.9,49.9,17.3,15.0,430.0, 66 
53,Budapest,08 December 2024,15:00,13 km/h,86%,4°,14.1,19.0,35.8,12.1,11.2,587.5, 60 
54,Istanbul,08 December 2024,16:00,9.9 km/h,72%,12°,16.9,20.1,26.0,41.0,6.2,627.9, 65 
55,Doha,08 December 2024,17:00,13 km/h,64%,23°,18.0,,84.0,,,, 68 
56,Ho Chi Minh City,08 December 2024,21:00,16.7 km/h,61%,28°,8.0,,,,,, 44 
57,Vienna,08 December 2024,14:00,13 km/h,87%,4°,15.0,16.0,36.5,13.0,2.0,250.0, 62 
58,Bangkok,08 December 2024,20:00,9.1 km/h,53%,30°,15.0,44.0,32.0,35.7,,320.6, 62 
59,Lima,08 December 2024,09:00,9.3 km/h,78%,22°,13.9,17.4,4.5,9.4,31.0,2.0, 60 
60,Tashkent,08 December 2024,19:00,14.8 km/h,73%,-6°,21.6,,38.0,,,, 74 
61,Moscow,08 December 2024,17:00,11.4 km/h,57%,-2°,10.9,,,,,, 54 
62,Kyiv,08 December 2024,15:00,3.2 km/h,80%,0°,12.9,12.4,,,,, 58 
63,Dubai,08 December 2024,18:00,16.7 km/h,39%,27°,13.0,18.4,118.0,,,, 58 
64,Almaty,08 December 2024,19:00,7.2 km/h,86%,-6°,13.3,12.4,,5.7,24.8,438.3, 59 
65,Chengdu,08 December 2024,21:00,7.2 km/h,93%,6°,12.0,16.0,20.0,25.0,3.0,500.0, 56 
66,Incheon,08 December 2024,23:00,11.1 km/h,68%,-3°,12.0,25.0,45.4,34.2,8.7,503.8, 56 
67,Baku,08 December 2024,18:00,37 km/h,76%,11°,18.0,,,,,, 68 
68,Bratislava,08 December 2024,15:00,9.3 km/h,89%,3°,12.3,18.0,25.0,18.0,4.0,331.1, 57 
69,Sao Paulo,08 December 2024,10:00,9.3 km/h,83%,23°,11.0,19.0,37.0,30.5,1.0,572.5, 55 
70,Nairobi,08 December 2024,17:00,18.5 km/h,31%,25°,8.9,7.7,,,,61.2, 49 
71,Kuala Lumpur,08 December 2024,22:00,3.7 km/h,88%,26°,9.0,,,,,, 50 
72,Bucharest,08 December 2024,16:00,3.7 km/h,89%,6°,10.2,13.2,5.7,29.4,6.1,, 53 
73,Prague,08 December 2024,15:00,14.8 km/h,91%,3°,9.8,12.9,16.2,18.8,5.2,397.4, 52 
74,Busan,08 December 2024,23:00,7.4 km/h,37%,0°,10.0,14.0,60.0,16.9,5.2,343.5, 53 
75,Seoul,08 December 2024,23:00,7.4 km/h,68%,-3°,10.0,23.0,44.0,38.9,7.3,452.3, 53 
76,Amsterdam,08 December 2024,14:00,25.9 km/h,83%,7°,9.8,10.9,20.3,11.5,,384.5, 52 
77,Krasnoyarsk,08 December 2024,21:00,9.4 km/h,90%,-8°,15.0,,,40.0,11.0,150.0, 62 
78,Minneapolis,08 December 2024,08:00,9.3 km/h,90%,0°,10.0,7.0,,,,, 53 
79,Toronto,08 December 2024,09:00,24.1 km/h,77%,4°,9.1,17.8,34.0,15.6,,, 50 
80,Los Angeles,08 December 2024,06:00,4.4 km/h,36%,13°,7.2,,2.0,56.4,,, 40 
81,Houston,08 December 2024,08:00,13 km/h,96%,11°,7.9,13.2,8.0,9.8,,229.0, 43 
82,Brussels,08 December 2024,15:00,20.4 km/h,90%,7°,9.1,,,20.5,,, 50 
83,Athens,08 December 2024,16:00,20.4 km/h,72%,17°,4.4,9.0,3.0,93.0,9.5,, 46 
84,Detroit,08 December 2024,09:00,11.3 km/h,79%,4°,8.0,,,28.2,2.6,458.0, 44 
85,Johannesburg,08 December 2024,16:00,3.7 km/h,47%,31°,7.0,23.8,,,,, 39 
86,Singapore,08 December 2024,22:00,7.4 km/h,81%,27°,8.0,14.0,21.0,16.0,4.0,350.0, 44 
87,Oslo,08 December 2024,15:00,6.5 km/h,94%,-1°,10.0,12.0,33.0,17.5,0.4,275.5, 53 
88,Montreal,08 December 2024,09:00,18.5 km/h,96%,0°,7.0,,11.0,3.0,0.5,, 39 
89,Stockholm,08 December 2024,15:00,7.4 km/h,98%,1°,8.0,10.6,23.8,12.7,,, 44 
90,Kuching,08 December 2024,22:00,0 km/h,94%,28°,8.0,,,,,, 44 
91,Copenhagen,08 December 2024,14:00,27.8 km/h,84%,5°,7.2,25.9,37.8,5.4,0.8,0.2, 40 
92,Washington D.C.,08 December 2024,09:00,14.8 km/h,50%,7°,7.6,12.0,58.0,20.3,,229.0, 42 
93,Taipei,08 December 2024,22:00,22.2 km/h,78%,14°,6.2,12.0,58.0,20.7,2.1,234.7, 34 
94,Addis Ababa,08 December 2024,17:00,16.8 km/h,25%,17°,6.6,,,,,, 36 
95,Algiers,08 December 2024,14:00,33.3 km/h,39%,16°,6.0,,,,,, 33 
96,Munich,08 December 2024,15:00,3.2 km/h,81%,5°,5.1,9.0,59.0,11.0,,, 28 
97,Lisbon,08 December 2024,14:00,38.9 km/h,56%,15°,2.8,2.2,82.0,7.0,3.0,150.5, 33 
98,New York City,08 December 2024,09:00,20.4 km/h,49%,5°,6.3,,38.0,41.8,1.7,, 35 
99,Helsinki,08 December 2024,16:00,8.1 km/h,86%,0°,5.8,6.8,42.1,13.1,0.8,, 32 
100,Chicago,08 December 2024,08:00,22.5 km/h,73%,4°,6.1,,,,,, 33 
101,Seattle,08 December 2024,06:00,24.1 km/h,89%,6°,1.0,7.6,76.8,16.1,,130.6, 31 
102,Madrid,08 December 2024,15:00,27.8 km/h,43%,10°,2.0,5.0,76.5,9.0,1.5,, 31 
103,Vancouver,08 December 2024,06:00,12.9 km/h,96%,6°,1.0,,74.6,6.0,0.5,, 30 
104,Osaka,08 December 2024,23:00,1.8 km/h,70%,5°,6.0,,,16.9,10.5,, 33 
105,Barcelona,08 December 2024,15:00,25.9 km/h,41%,13°,4.5,14.0,67.0,8.0,1.0,200.0, 27 
106,Nice,08 December 2024,14:00,5.5 km/h,54%,13°,2.2,5.5,64.6,8.4,,, 26 
107,Rotterdam,08 December 2024,13:00,20.4 km/h,88%,7°,4.7,8.5,33.5,9.2,,, 26 
108,Dublin,08 December 2024,14:00,27.8 km/h,74%,7°,2.4,9.2,40.4,11.6,2.0,, 17 
109,Santiago,08 December 2024,11:00,11.1 km/h,29%,19°,3.0,20.0,40.0,11.6,4.7,337.8, 19 
110,Kyoto,08 December 2024,22:00,17.6 km/h,90%,4°,4.0,6.0,,16.9,0.0,343.5, 22 
111,London,08 December 2024,14:00,37 km/h,86%,7°,4.5,6.8,42.3,8.2,,100.0, 25 
112,Birmingham,08 December 2024,13:00,25.9 km/h,92%,5°,1.9,3.7,50.8,14.2,0.1,, 21 
113,Bern,08 December 2024,15:00,1.8 km/h,82%,5°,2.2,2.4,48.5,15.5,,, 20 
114,Paris,08 December 2024,15:00,27.8 km/h,89%,7°,4.0,5.2,50.1,15.3,,151.0, 22 
115,Canberra,09 December 2024,01:00,5.5 km/h,87%,13°,3.0,11.4,44.0,,,, 18 
116,Portland,08 December 2024,06:00,8.1 km/h,95%,6°,1.3,1.8,48.0,5.6,1.6,114.5, 20 
117,Denver,08 December 2024,07:00,7.4 km/h,45%,4°,3.6,15.0,40.0,33.8,5.2,343.5, 19 
118,Kabul,08 December 2024,18:30,5.1 km/h,30%,0°,4.0,,,,,, 22 
119,Lyon,08 December 2024,14:00,3.7 km/h,91%,6°,1.6,2.6,40.5,15.2,3.0,0.3, 17 
120,Kobe,08 December 2024,22:00,9.3 km/h,70%,6°,3.0,4.0,,8.5,0.0,343.5, 17 
121,Auckland,09 December 2024,03:00,20.4 km/h,85%,18°,2.7,15.0,,5.1,,, 14 
122,Rome,08 December 2024,15:00,18.5 km/h,72%,11°,2.6,,40.0,24.0,0.9,0.8, 16 
123,Sydney,09 December 2024,01:00,14.8 km/h,87%,18°,2.7,17.2,0.0,0.0,0.0,174.9, 16 
124,Melbourne,09 December 2024,01:00,3.2 km/h,59%,15°,2.5,,,,,, 14 
125,Tokyo,08 December 2024,23:00,22.2 km/h,53%,5°,2.0,3.0,,13.2,0.0,229.0, 11 
0,Dhaka,08 December 2024,20:00,5.5 km/h,63%,19°,176.6,,16.0,,,, 252 
1,Lahore,08 December 2024,19:00,14.8 km/h,59%,15°,158.0,,,,,, 233 
2,Delhi,08 December 2024,19:30,11.1 km/h,55%,18°,140.0,280.0,22.0,78.5,8.9,"1,495.0", 215 
3,Kathmandu,08 December 2024,19:45,7.4 km/h,82%,13°,87.2,109.8,66.0,,,, 173 
4,Ulaanbaatar,08 December 2024,22:00,0 km/h,84%,-19°,86.0,169.1,0.1,82.9,71.0,"3,300.0", 172 
5,Tehran,08 December 2024,17:30,11.1 km/h,36%,7°,70.0,147.9,20.9,196.3,76.1,"4,482.7", 161 
6,Kolkata,08 December 2024,19:30,5.5 km/h,56%,21°,68.2,158.4,10.2,48.3,8.0,"1,200.0", 160 
7,San Francisco,08 December 2024,06:00,6.4 km/h,85%,11°,51.3,,14.0,49.3,,, 140 
8,Baghdad,08 December 2024,17:00,9.3 km/h,30%,21°,50.0,,,,,, 137 
9,Cairo,08 December 2024,16:00,13 km/h,35%,23°,47.3,,,,,, 130 
10,Yangon,08 December 2024,20:30,3.7 km/h,84%,28°,47.5,,,,,, 130 
11,Hanoi,08 December 2024,21:00,4.9 km/h,63%,16°,45.0,54.3,,41.1,,974.1, 124 
12,Sarajevo,08 December 2024,15:00,3.7 km/h,100%,3°,41.1,24.5,41.0,15.0,16.5,191.5, 115 
13,Skopje,08 December 2024,15:00,7.4 km/h,76%,6°,38.2,42.7,20.0,31.3,3.8,, 108 
14,Jakarta,08 December 2024,21:00,14.8 km/h,76%,28°,38.0,,18.0,,,, 107 
15,Mumbai,08 December 2024,19:30,14.8 km/h,41%,26°,37.1,104.9,37.8,18.3,13.4,400.0, 105 
16,Kinshasa,08 December 2024,15:00,4.6 km/h,59%,31°,35.0,,,,,, 99 
17,Milano,08 December 2024,15:00,9.3 km/h,91%,4°,33.9,88.0,5.9,43.5,4.6,700.0, 97 
18,Karachi,08 December 2024,19:00,7.4 km/h,13%,22°,33.0,,,,,, 96 
19,Kuwait City,08 December 2024,17:00,3.1 km/h,48%,22°,32.0,,,,,, 94 
20,Chiang Mai,08 December 2024,21:00,3.7 km/h,78%,24°,31.7,55.0,,,,, 93 
21,Batam,08 December 2024,21:00,5.5 km/h,83%,28°,33.8,,,,,, 97 
22,Wuhan,08 December 2024,22:00,13.5 km/h,31%,6°,28.0,31.0,16.0,13.0,3.0,"4,000.0", 86 
23,Beijing,08 December 2024,22:00,3.6 km/h,58%,-7°,28.0,58.0,2.5,53.0,3.0,500.0, 86 
24,Chongqing,08 December 2024,22:00,3.6 km/h,81%,4°,28.0,40.0,39.0,26.0,8.0,600.0, 86 
25,Accra,08 December 2024,14:00,14.8 km/h,62%,32°,27.5,,,,,, 85 
26,Tel Aviv-Yafo,08 December 2024,17:00,14.8 km/h,66%,21°,21.0,152.0,205.2,90.6,8.4,801.5, 99 
27,Hangzhou,08 December 2024,22:00,4.6 km/h,51%,5°,27.0,45.5,18.5,63.0,7.0,600.0, 84 
28,Phnom Penh,08 December 2024,21:00,14.8 km/h,65%,28°,26.0,,,,,, 82 
29,Manama,08 December 2024,17:00,14.8 km/h,67%,23°,26.0,,,,,, 82 
30,Kaohsiung,08 December 2024,22:00,7.4 km/h,68%,19°,26.0,82.0,38.0,33.8,5.5,452.3, 82 
31,Guangzhou,08 December 2024,22:00,14 km/h,50%,17°,26.0,41.0,60.0,25.0,7.0,635.0, 82 
32,Salt Lake City,08 December 2024,07:00,0 km/h,75%,0°,26.0,25.0,9.0,53.6,1.2,400.8, 82 
33,Shanghai,08 December 2024,22:00,10.8 km/h,61%,5°,24.0,33.0,50.0,36.0,6.0,500.0, 79 
34,Bishkek,08 December 2024,20:00,4.3 km/h,91%,-9°,22.6,0.0,,84.7,,, 76 
35,Dakar,08 December 2024,14:00,11.1 km/h,35%,30°,22.0,12.1,,,,, 75 
36,Kraków,08 December 2024,16:00,1.8 km/h,70%,0°,25.5,37.3,,28.9,1.5,210.0, 82 
37,Manila,08 December 2024,22:00,1.8 km/h,89%,27°,21.7,,,,,, 74 
38,Tashkent,08 December 2024,19:00,14.8 km/h,73%,-6°,21.5,,38.0,,,, 74 
39,Riyadh,08 December 2024,18:00,13.7 km/h,31%,24°,28.5,,,,,, 87 
40,Wrocław,08 December 2024,16:00,5.5 km/h,94%,2°,26.2,28.9,17.4,14.8,12.8,561.0, 83 
41,Hong Kong,08 December 2024,22:00,8.1 km/h,68%,18°,21.0,32.6,58.5,34.2,2.2,754.4, 73 
42,Berlin,08 December 2024,16:00,11.3 km/h,91%,3°,22.0,25.0,27.0,11.0,,0.0, 75 
43,Pristina,08 December 2024,16:00,12.9 km/h,76%,5°,11.4,25.0,26.0,31.8,11.9,550.0, 55 
44,Shenzhen,08 December 2024,22:00,12.9 km/h,69%,17°,20.0,35.5,61.0,20.5,7.0,700.0, 71 
45,Sofia,08 December 2024,17:00,7.4 km/h,87%,1°,12.9,24.1,31.0,31.6,12.0,0.6, 58 
46,Jerusalem,08 December 2024,16:00,4.8 km/h,77%,14°,19.3,,132.2,60.9,,, 70 
47,Warsaw,08 December 2024,15:00,11.1 km/h,92%,2°,19.3,24.2,8.2,15.9,1.5,318.0, 70 
48,Medan,08 December 2024,21:00,11.1 km/h,94%,26°,18.0,,,,,, 68 
49,Doha,08 December 2024,18:00,7.4 km/h,68%,22°,18.0,,72.0,,,, 68 
50,Kampala,08 December 2024,17:00,8.6 km/h,51%,24°,7.0,8.2,33.6,11.7,0.0,, 38 
